0101010101010101011010101010101010101001010101101010 0101011010101001010101010101010101101010101010101010 separated by 163285
1010010101010101010101011010101010101010101001010101101010100101 1010010101011010101001010101010101010101101010101010101010100101 separated by 298410
10100110011001100110011001100110011010011001100110011001011001100101 10100110011010011001100110011001011001100110011001100110011001100101 separated by 162555
1010100101010101010101011010101010101010101001010101101010010101 1010100101011010101001010101010101010101101010101010101010010101 separated by 163285
1010101001010101010101011010101010101010101001010101101001010101 1010101001011010101001010101010101010101101010101010101001010101 separated by 160527
1011000101010101010101011010101010101010101001010101101010001101 1011000101011010101001010101010101010101101010101010101010001101 separated by 163285
1100010101010101010101011010101010101010101001010101101010100011 1100010101011010101001010101010101010101101010101010101010100011 separated by 298410
1100100101010101010101011010101010101010101001010101101010010011 1100100101011010101001010101010101010101101010101010101010010011 separated by 163285
1101000101010101010101011010101010101010101001010101101010001011 1101000101011010101001010101010101010101101010101010101010001011 separated by 163290
1101010001010101010101011010101010101010101001010101101000101011 1101010001011010101001010101010101010101101010101010101000101011 separated by 160223
1110000101010101010101011010101010101010101001010101101010000111 1110000101011010101001010101010101010101101010101010101010000111 separated by 171048
00001111010101010101010101101010101010101010100101010110101011110000 00001111010101101010100101010101010101010110101010101010101011110000 separated by 171687
00010101110101010101010101101010101010101010100101010110101110101000 00010101110101101010100101010101010101010110101010101010101110101000 separated by 163285
00010111010101010101010101101010101010101010100101010110101011101000 00010111010101101010100101010101010101010110101010101010101011101000 separated by 163300
00011011010101010101010101101010101010101010100101010110101011011000 00011011010101101010100101010101010101010110101010101010101011011000 separated by 163330
00011101010101010101010101101010101010101010100101010110101010111000 00011101010101101010100101010101010101010110101010101010101010111000 separated by 163330
00011110010101010101010101101010101010101010100101010110101001111000 00011110010101101010100101010101010101010110101010101010101001111000 separated by 163285
00100101011101010101010101101010101010101010100101010110111010100100 00100101011101101010100101010101010101010110101010101010111010100100 separated by 31071
00100111010101010101010101101010101010101010100101010110101011100100 00100111010101101010100101010101010101010110101010101010101011100100 separated by 163285
00101001110101010101010101101010101010101010100101010110101110010100 00101001110101101010100101010101010101010110101010101010101110010100 separated by 161575
00101010110101010101010101101010101010101010100101010110101101010100 00101010110101101010100101010101010101010110101010101010101101010100 separated by 163285
00101011010101010101010101101010101010101010100101010110101011010100 00101011010101101010100101010101010101010110101010101010101011010100 separated by 163285
00101011100101010101010101101010101010101010100101010110100111010100 00101011100101101010100101010101010101010110101010101010100111010100 separated by 160529
00101101010101010101010101101010101010101010100101010110101010110100 00101101010101101010100101010101010101010110101010101010101010110100 separated by 163498
00101110010101010101010101101010101010101010100101010110101001110100 00101110010101101010100101010101010101010110101010101010101001110100 separated by 163285
00110011010101010101010101101010101010101010100101010110101011001100 00110011010101101010100101010101010101010110101010101010101011001100 separated by 163295
00110101010101010101010101101010101010101010100101010110101010101100 00110101010101101010100101010101010101010110101010101010101010101100 separated by 163300
00110110010101010101010101101010101010101010100101010110101001101100 00110110010101101010100101010101010101010110101010101010101001101100 separated by 163285
0011011001100101100110010110100110011010011001100110011001100110011001101100 0011011001100110011001100110011001100101100110010110100110011010011001101100 separated by 164835
00111001010101010101010101101010101010101010100101010110101010011100 00111001010101101010100101010101010101010110101010101010101010011100 separated by 315580
001110011001100110011001100110011001101001100110011001100101100110011100 001110011001101001100110011001100101100110011001100110011001100110011100 separated by 166085
00111010010101010101010101101010101010101010100101010110101001011100 00111010010101101010100101010101010101010110101010101010101001011100 separated by 163285
00111010100101010101010101101010101010101010100101010110100101011100 00111010100101101010100101010101010101010110101010101010100101011100 separated by 160529
00111100010101010101010101101010101010101010100101010110101000111100 00111100010101101010100101010101010101010110101010101010101000111100 separated by 163285
01000101110101010101010101101010101010101010100101010110101110100010 01000101110101101010100101010101010101010110101010101010101110100010 separated by 140136
01000111010101010101010101101010101010101010100101010110101011100010 01000111010101101010100101010101010101010110101010101010101011100010 separated by 163285
01001001110101010101010101101010101010101010100101010110101110010010 01001001110101101010100101010101010101010110101010101010101110010010 separated by 29680
01001010110101010101010101101010101010101010100101010110101101010010 01001010110101101010100101010101010101010110101010101010101101010010 separated by 163287
01001011010101010101010101101010101010101010100101010110101011010010 01001011010101101010100101010101010101010110101010101010101011010010 separated by 163285
01001101010101010101010101101010101010101010100101010110101010110010 01001101010101101010100101010101010101010110101010101010101010110010 separated by 163285
01001110010101010101010101101010101010101010100101010110101001110010 01001110010101101010100101010101010101010110101010101010101001110010 separated by 163290
01010001110101010101010101101010101010101010100101010110101110001010 01010001110101101010100101010101010101010110101010101010101110001010 separated by 161775
01010010110101010101010101101010101010101010100101010110101101001010 01010010110101101010100101010101010101010110101010101010101101001010 separated by 161775
01010011010101010101010101101010101010101010100101010110101011001010 01010011010101101010100101010101010101010110101010101010101011001010 separated by 163295
01010100110101010101010101101010101010101010100101010110101100101010 01010100110101101010100101010101010101010110101010101010101100101010 separated by 163300
01010101010101010101010101101010101010101010100101010110101010101010 01010101010101101010100101010101010101010110101010101010101010101010 separated by 163285
01010101100101010101010101101010101010101010100101010110100110101010 01010101100101101010100101010101010101010110101010101010100110101010 separated by 160528
01010110010101010101010101101010101010101010100101010110101001101010 01010110010101101010100101010101010101010110101010101010101001101010 separated by 163285
0101011001100101100110010110100110011010011001100110011001100110011001101010 0101011001100110011001100110011001100101100110010110100110011010011001101010 separated by 164835
01010110100101010101010101101010101010101010100101010110100101101010 01010110100101101010100101010101010101010110101010101010100101101010 separated by 163300
01010111000101010101010101101010101010101010100101010110100011101010 01010111000101101010100101010101010101010110101010101010100011101010 separated by 160224
01011001010101010101010101101010101010101010100101010110101010011010 01011001010101101010100101010101010101010110101010101010101010011010 separated by 298412
010110011001100110011001100110011001101001100110011001100101100110011010 010110011001101001100110011001100101100110011001100110011001100110011010 separated by 166090
01011010010101010101010101101010101010101010100101010110101001011010 01011010010101101010100101010101010101010110101010101010101001011010 separated by 163285
01011010100101010101010101101010101010101010100101010110100101011010 01011010100101101010100101010101010101010110101010101010100101011010 separated by 160528
0101101010010101010101010101010101101010101010101010101010010110100101011010 0101101010010110100101010101010101010101011010101010101010101010100101011010 separated by 128735
01011100010101010101010101101010101010101010100101010110101000111010 01011100010101101010100101010101010101010110101010101010101000111010 separated by 163285
01100011010101010101010101101010101010101010100101010110101011000110 01100011010101101010100101010101010101010110101010101010101011000110 separated by 163295
01100101010101010101010101101010101010101010100101010110101010100110 01100101010101101010100101010101010101010110101010101010101010100110 separated by 163285
01100110010101010101010101101010101010101010100101010110101001100110 01100110010101101010100101010101010101010110101010101010101001100110 separated by 163285
0110011001100101100110010110100110011010011001100110011001100110011001100110 0110011001100110011001100110011001100101100110010110100110011010011001100110 separated by 298393
01101001010101010101010101101010101010101010100101010110101010010110 01101001010101101010100101010101010101010110101010101010101010010110 separated by 316304
011010011001100110011001100110011001101001100110011001100101100110010110 011010011001101001100110011001100101100110011001100110011001100110010110 separated by 162555
01101010010101010101010101101010101010101010100101010110101001010110 01101010010101101010100101010101010101010110101010101010101001010110 separated by 163285
01101010100101010101010101101010101010101010100101010110100101010110 01101010100101101010100101010101010101010110101010101010100101010110 separated by 160528
01101100010101010101010101101010101010101010100101010110101000110110 01101100010101101010100101010101010101010110101010101010101000110110 separated by 163285
01110001010101010101010101101010101010101010100101010110101010001110 01110001010101101010100101010101010101010110101010101010101010001110 separated by 315581
01110010010101010101010101101010101010101010100101010110101001001110 01110010010101101010100101010101010101010110101010101010101001001110 separated by 163285
01110100010101010101010101101010101010101010100101010110101000101110 01110100010101101010100101010101010101010110101010101010101000101110 separated by 163290
01110101000101010101010101101010101010101010100101010110100010101110 01110101000101101010100101010101010101010110101010101010100010101110 separated by 160224
01111000010101010101010101101010101010101010100101010110101000011110 01111000010101101010100101010101010101010110101010101010101000011110 separated by 171047
10000111010101010101010101101010101010101010100101010110101011100001 10000111010101101010100101010101010101010110101010101010101011100001 separated by 171047
10001010110101010101010101101010101010101010100101010110101101010001 10001010110101101010100101010101010101010110101010101010101101010001 separated by 163300
10001011010101010101010101101010101010101010100101010110101011010001 10001011010101101010100101010101010101010110101010101010101011010001 separated by 163330
10001101010101010101010101101010101010101010100101010110101010110001 10001101010101101010100101010101010101010110101010101010101010110001 separated by 163285
10001110010101010101010101101010101010101010100101010110101001110001 10001110010101101010100101010101010101010110101010101010101001110001 separated by 163295
10010011010101010101010101101010101010101010100101010110101011001001 10010011010101101010100101010101010101010110101010101010101011001001 separated by 163296
10010100110101010101010101101010101010101010100101010110101100101001 10010100110101101010100101010101010101010110101010101010101100101001 separated by 161575
10010101010101010101010101101010101010101010100101010110101010101001 10010101010101101010100101010101010101010110101010101010101010101001 separated by 163286
10010101100101010101010101101010101010101010100101010110100110101001 10010101100101101010100101010101010101010110101010101010100110101001 separated by 160527
10010101101010010101010101101010101010101010100101010101010110101001 10010101101010101010100101010101010101010110101010101001010110101001 separated by 31915
10010110010101010101010101101010101010101010100101010110101001101001 10010110010101101010100101010101010101010110101010101010101001101001 separated by 163295
1001011001100101100110010110100110011010011001100110011001100110011001101001 1001011001100110011001100110011001100101100110010110100110011010011001101001 separated by 164835
10011001010101010101010101101010101010101010100101010110101010011001 10011001010101101010100101010101010101010110101010101010101010011001 separated by 298412
100110011001100110011001100110011001101001100110011001100101100110011001 100110011001101001100110011001100101100110011001100110011001100110011001 separated by 298394
10011010010101010101010101101010101010101010100101010110101001011001 10011010010101101010100101010101010101010110101010101010101001011001 separated by 163330
10011010100101010101010101101010101010101010100101010110100101011001 10011010100101101010100101010101010101010110101010101010100101011001 separated by 160527
1001101010010101010101010101010101101010101010101010101010010110100101011001 1001101010010110100101010101010101010101011010101010101010101010100101011001 separated by 128735
10011100010101010101010101101010101010101010100101010110101000111001 10011100010101101010100101010101010101010110101010101010101000111001 separated by 163300
10100011010101010101010101101010101010101010100101010110101011000101 10100011010101101010100101010101010101010110101010101010101011000101 separated by 163296
10100101010101010101010101101010101010101010100101010110101010100101 10100101010101101010100101010101010101010110101010101010101010100101 separated by 163286
10100101011001010101010101101010101010101010100101010110011010100101 10100101011001101010100101010101010101010110101010101010011010100101 separated by 31376
10100110010101010101010101101010101010101010100101010110101001100101 10100110010101101010100101010101010101010110101010101010101001100101 separated by 163285
1010011001100101100110010110100110011010011001100110011001100110011001100101 1010011001100110011001100110011001100101100110010110100110011010011001100101 separated by 298343
10101000110101010101010101101010101010101010100101010110101100010101 10101000110101101010100101010101010101010110101010101010101100010101 separated by 161775
10101001010101010101010101101010101010101010100101010110101010010101 10101001010101101010100101010101010101010110101010101010101010010101 separated by 298412
10101001011001010101010101101010101010101010100101010110011010010101 10101001011001101010100101010101010101010110101010101010011010010101 separated by 31376
10101001100101010101010101101010101010101010100101010110100110010101 10101001100101101010100101010101010101010110101010101010100110010101 separated by 161575
101010011001100110011001100110011001101001100110011001100101100110010101 101010011001101001100110011001100101100110011001100110011001100110010101 separated by 162555
10101010010101010101010101101010101010101010100101010110101001010101 10101010010101101010100101010101010101010110101010101010101001010101 separated by 163285
10101010100101010101010101101010101010101010100101010110100101010101 10101010100101101010100101010101010101010110101010101010100101010101 separated by 160527
10101011000101010101010101101010101010101010100101010110100011010101 10101011000101101010100101010101010101010110101010101010100011010101 separated by 163296
10101100010101010101010101101010101010101010100101010110101000110101 10101100010101101010100101010101010101010110101010101010101000110101 separated by 163285
10110001010101010101010101101010101010101010100101010110101010001101 10110001010101101010100101010101010101010110101010101010101010001101 separated by 298412
10110010010101010101010101101010101010101010100101010110101001001101 10110010010101101010100101010101010101010110101010101010101001001101 separated by 163285
10110100010101010101010101101010101010101010100101010110101000101101 10110100010101101010100101010101010101010110101010101010101000101101 separated by 163295
10110101000101010101010101101010101010101010100101010110100010101101 10110101000101101010100101010101010101010110101010101010100010101101 separated by 160223
10111000010101010101010101101010101010101010100101010110101000011101 10111000010101101010100101010101010101010110101010101010101000011101 separated by 171047
11000011010101010101010101101010101010101010100101010110101011000011 11000011010101101010100101010101010101010110101010101010101011000011 separated by 171045
11000101010101010101010101101010101010101010100101010110101010100011 11000101010101101010100101010101010101010110101010101010101010100011 separated by 163610
11000110010101010101010101101010101010101010100101010110101001100011 11000110010101101010100101010101010101010110101010101010101001100011 separated by 163285
1100011001100101100110010110100110011010011001100110011001100110011001100011 1100011001100110011001100110011001100101100110010110100110011010011001100011 separated by 298343
11001001010101010101010101101010101010101010100101010110101010010011 11001001010101101010100101010101010101010110101010101010101010010011 separated by 315579
110010011001100110011001100110011001101001100110011001100101100110010011 110010011001101001100110011001100101100110011001100110011001100110010011 separated by 163825
11001010010101010101010101101010101010101010100101010110101001010011 11001010010101101010100101010101010101010110101010101010101001010011 separated by 163285
11001010100101010101010101101010101010101010100101010110100101010011 11001010100101101010100101010101010101010110101010101010100101010011 separated by 160527
11001100010101010101010101101010101010101010100101010110101000110011 11001100010101101010100101010101010101010110101010101010101000110011 separated by 163285
11010001010101010101010101101010101010101010100101010110101010001011 11010001010101101010100101010101010101010110101010101010101010001011 separated by 315579
11010010010101010101010101101010101010101010100101010110101001001011 11010010010101101010100101010101010101010110101010101010101001001011 separated by 163285
11010100010101010101010101101010101010101010100101010110101000101011 11010100010101101010100101010101010101010110101010101010101000101011 separated by 163285
11010100100101010101010101101010101010101010100101010110100100101011 11010100100101101010100101010101010101010110101010101010100100101011 separated by 163286
11010101000101010101010101101010101010101010100101010110100010101011 11010101000101101010100101010101010101010110101010101010100010101011 separated by 160223
11011000010101010101010101101010101010101010100101010110101000011011 11011000010101101010100101010101010101010110101010101010101000011011 separated by 171046
11100001010101010101010101101010101010101010100101010110101010000111 11100001010101101010100101010101010101010110101010101010101010000111 separated by 315580
11100010010101010101010101101010101010101010100101010110101001000111 11100010010101101010100101010101010101010110101010101010101001000111 separated by 163285
11100100010101010101010101101010101010101010100101010110101000100111 11100100010101101010100101010101010101010110101010101010101000100111 separated by 163285
11101000010101010101010101101010101010101010100101010110101000010111 11101000010101101010100101010101010101010110101010101010101000010111 separated by 171050
11101010000101010101010101101010101010101010100101010110100001010111 11101010000101101010100101010101010101010110101010101010100001010111 separated by 171071
11110000010101010101010101101010101010101010100101010110101000001111 11110000010101101010100101010101010101010110101010101010101000001111 separated by 171046
000001010111110101010101010110101010101010101010010101011011111010100000 000001010111110110101010010101010101010101011010101010101011111010100000 separated by 35246
000001111101010101010101010110101010101010101010010101011010101111100000 000001111101010110101010010101010101010101011010101010101010101111100000 separated by 171049
000010101111010101010101010110101010101010101010010101011010111101010000 000010101111010110101010010101010101010101011010101010101010111101010000 separated by 170208
000010111101010101010101010110101010101010101010010101011010101111010000 000010111101010110101010010101010101010101011010101010101010101111010000 separated by 171098
000011011101010101010101010110101010101010101010010101011010101110110000 000011011101010110101010010101010101010101011010101010101010101110110000 separated by 171049
000011101101010101010101010110101010101010101010010101011010101101110000 000011101101010110101010010101010101010101011010101010101010101101110000 separated by 171049
000011110101010101010101010110101010101010101010010101011010101011110000 000011110101010110101010010101010101010101011010101010101010101011110000 separated by 171045
000011111001010101010101010110101010101010101010010101011010100111110000 000011111001010110101010010101010101010101011010101010101010100111110000 separated by 171026
00001111100110010110011001011010011001101001100110011001100110011001100111110000 00001111100110011001100110011001100110010110011001011010011001101001100111110000 separated by 70926
000100111101010101010101010110101010101010101010010101011010101111001000 000100111101010110101010010101010101010101011010101010101010101111001000 separated by 163314
000101001111010101010101010110101010101010101010010101011010111100101000 000101001111010110101010010101010101010101011010101010101010111100101000 separated by 163304
000101010111010101010101010110101010101010101010010101011010111010101000 000101010111010110101010010101010101010101011010101010101010111010101000 separated by 163304
000101011001110101010101010110101010101010101010010101011011100110101000 000101011001110110101010010101010101010101011010101010101011100110101000 separated by 35276
000101011011010101010101010110101010101010101010010101011010110110101000 000101011011010110101010010101010101010101011010101010101010110110101000 separated by 161585
000101011101010101010101010110101010101010101010010101011010101110101000 000101011101010110101010010101010101010101011010101010101010101110101000 separated by 163314
000101011110010101010101010110101010101010101010010101011010011110101000 000101011110010110101010010101010101010101011010101010101010011110101000 separated by 160530
000101101101010101010101010110101010101010101010010101011010101101101000 000101101101010110101010010101010101010101011010101010101010101101101000 separated by 163334
000101110101010101010101010110101010101010101010010101011010101011101000 000101110101010110101010010101010101010101011010101010101010101011101000 separated by 163304
000101111001010101010101010110101010101010101010010101011010100111101000 000101111001010110101010010101010101010101011010101010101010100111101000 separated by 163290
000110011101010101010101010110101010101010101010010101011010101110011000 000110011101010110101010010101010101010101011010101010101010101110011000 separated by 163285
000110101011010101010101010110101010101010101010010101011010110101011000 000110101011010110101010010101010101010101011010101010101010110101011000 separated by 163304
000110101101010101010101010110101010101010101010010101011010101101011000 000110101101010110101010010101010101010101011010101010101010101101011000 separated by 163299
000110110101010101010101010110101010101010101010010101011010101011011000 000110110101010110101010010101010101010101011010101010101010101011011000 separated by 163285
000110111001010101010101010110101010101010101010010101011010100111011000 000110111001010110101010010101010101010101011010101010101010100111011000 separated by 163285
00011011100110010110011001011010011001101001100110011001100110011001100111011000 00011011100110011001100110011001100110010110011001011010011001101001100111011000 separated by 70926
000111001101010101010101010110101010101010101010010101011010101100111000 000111001101010110101010010101010101010101011010101010101010101100111000 separated by 163334
000111010101010101010101010110101010101010101010010101011010101010111000 000111010101010110101010010101010101010101011010101010101010101010111000 separated by 163305
000111011001010101010101010110101010101010101010010101011010100110111000 000111011001010110101010010101010101010101011010101010101010100110111000 separated by 163285
00011101100110010110011001011010011001101001100110011001100110011001100110111000 00011101100110011001100110011001100110010110011001011010011001101001100110111000 separated by 164875
000111100101010101010101010110101010101010101010010101011010101001111000 000111100101010110101010010101010101010101011010101010101010101001111000 separated by 315579
0001111001100110011001100110011001100110100110011001100110010110011001111000 0001111001100110100110011001100110010110011001100110011001100110011001111000 separated by 166085
000111101001010101010101010110101010101010101010010101011010100101111000 000111101001010110101010010101010101010101011010101010101010100101111000 separated by 163285
000111101010010101010101010110101010101010101010010101011010010101111000 000111101010010110101010010101010101010101011010101010101010010101111000 separated by 161780
000111110001010101010101010110101010101010101010010101011010100011111000 000111110001010110101010010101010101010101011010101010101010100011111000 separated by 163285
001000111101010101010101010110101010101010101010010101011010101111000100 001000111101010110101010010101010101010101011010101010101010101111000100 separated by 163314
001001010101110101010101010110101010101010101010010101011011101010100100 001001010101110110101010010101010101010101011010101010101011101010100100 separated by 31071
001001010111010101010101010110101010101010101010010101011010111010100100 001001010111010110101010010101010101010101011010101010101010111010100100 separated by 161785
001001011101010101010101010110101010101010101010010101011010101110100100 001001011101010110101010010101010101010101011010101010101010101110100100 separated by 163295
001001101101010101010101010110101010101010101010010101011010101101100100 001001101101010110101010010101010101010101011010101010101010101101100100 separated by 163330
001001110101010101010101010110101010101010101010010101011010101011100100 001001110101010110101010010101010101010101011010101010101010101011100100 separated by 163304
001001111001010101010101010110101010101010101010010101011010100111100100 001001111001010110101010010101010101010101011010101010101010100111100100 separated by 163285
00100111100110010110011001011010011001101001100110011001100110011001100111100100 00100111100110011001100110011001100110010110011001011010011001101001100111100100 separated by 164830
001010001111010101010101010110101010101010101010010101011010111100010100 001010001111010110101010010101010101010101011010101010101010111100010100 separated by 161780
001010010101110101010101010110101010101010101010010101011011101010010100 001010010101110110101010010101010101010101011010101010101011101010010100 separated by 31071
001010010111010101010101010110101010101010101010010101011010111010010100 001010010111010110101010010101010101010101011010101010101010111010010100 separated by 161775
001010011011010101010101010110101010101010101010010101011010110110010100 001010011011010110101010010101010101010101011010101010101010110110010100 separated by 161575
001010011101010101010101010110101010101010101010010101011010101110010100 001010011101010110101010010101010101010101011010101010101010101110010100 separated by 163285
001010100101110101010101010110101010101010101010010101011011101001010100 001010100101110110101010010101010101010101011010101010101011101001010100 separated by 31071
001010100111010101010101010110101010101010101010010101011010111001010100 001010100111010110101010010101010101010101011010101010101010111001010100 separated by 163303
001010101011010101010101010110101010101010101010010101011010110101010100 001010101011010110101010010101010101010101011010101010101010110101010100 separated by 163304
001010101101010101010101010110101010101010101010010101011010101101010100 001010101101010110101010010101010101010101011010101010101010101101010100 separated by 163285
001010101110010101010101010110101010101010101010010101011010011101010100 001010101110010110101010010101010101010101011010101010101010011101010100 separated by 160529
001010110001110101010101010110101010101010101010010101011011100011010100 001010110001110110101010010101010101010101011010101010101011100011010100 separated by 35276
001010110011010101010101010110101010101010101010010101011010110011010100 001010110011010110101010010101010101010101011010101010101010110011010100 separated by 163304
001010110101010101010101010110101010101010101010010101011010101011010100 001010110101010110101010010101010101010101011010101010101010101011010100 separated by 163285
001010110110010101010101010110101010101010101010010101011010011011010100 001010110110010110101010010101010101010101011010101010101010011011010100 separated by 161585
001010111001010101010101010110101010101010101010010101011010100111010100 001010111001010110101010010101010101010101011010101010101010100111010100 separated by 163285
001010111010010101010101010110101010101010101010010101011010010111010100 001010111010010110101010010101010101010101011010101010101010010111010100 separated by 160529
001010111100010101010101010110101010101010101010010101011010001111010100 001010111100010110101010010101010101010101011010101010101010001111010100 separated by 163310
001010111101000101010101010110101010101010101010010101011000101111010100 001010111101000110101010010101010101010101011010101010101000101111010100 separated by 35233
001011001101010101010101010110101010101010101010010101011010101100110100 001011001101010110101010010101010101010101011010101010101010101100110100 separated by 163303
001011010101010101010101010110101010101010101010010101011010101010110100 001011010101010110101010010101010101010101011010101010101010101010110100 separated by 163303
001011011001010101010101010110101010101010101010010101011010100110110100 001011011001010110101010010101010101010101011010101010101010100110110100 separated by 163285
00101101100110010110011001011010011001101001100110011001100110011001100110110100 00101101100110011001100110011001100110010110011001011010011001101001100110110100 separated by 164835
001011100101010101010101010110101010101010101010010101011010101001110100 001011100101010110101010010101010101010101011010101010101010101001110100 separated by 315581
0010111001100110011001100110011001100110100110011001100110010110011001110100 0010111001100110100110011001100110010110011001100110011001100110011001110100 separated by 166085
001011101001010101010101010110101010101010101010010101011010100101110100 001011101001010110101010010101010101010101011010101010101010100101110100 separated by 163285
001011101010010101010101010110101010101010101010010101011010010101110100 001011101010010110101010010101010101010101011010101010101010010101110100 separated by 160529
001011110001010101010101010110101010101010101010010101011010100011110100 001011110001010110101010010101010101010101011010101010101010100011110100 separated by 163285
001011110101000101010101010110101010101010101010010101011000101011110100 001011110101000110101010010101010101010101011010101010101000101011110100 separated by 35233
001100011101010101010101010110101010101010101010010101011010101110001100 001100011101010110101010010101010101010101011010101010101010101110001100 separated by 163285
001100101011010101010101010110101010101010101010010101011010110101001100 001100101011010110101010010101010101010101011010101010101010110101001100 separated by 163303
001100101101010101010101010110101010101010101010010101011010101101001100 001100101101010110101010010101010101010101011010101010101010101101001100 separated by 163285
001100110101010101010101010110101010101010101010010101011010101011001100 001100110101010110101010010101010101010101011010101010101010101011001100 separated by 163285
001100111001010101010101010110101010101010101010010101011010100111001100 001100111001010110101010010101010101010101011010101010101010100111001100 separated by 163290
00110011100110010110011001011010011001101001100110011001100110011001100111001100 00110011100110011001100110011001100110010110011001011010011001101001100111001100 separated by 70926
001101001101010101010101010110101010101010101010010101011010101100101100 001101001101010110101010010101010101010101011010101010101010101100101100 separated by 163633
001101010011010101010101010110101010101010101010010101011010110010101100 001101010011010110101010010101010101010101011010101010101010110010101100 separated by 161575
001101010101010101010101010110101010101010101010010101011010101010101100 001101010101010110101010010101010101010101011010101010101010101010101100 separated by 163304
001101010110010101010101010110101010101010101010010101011010011010101100 001101010110010110101010010101010101010101011010101010101010011010101100 separated by 160529
001101011001010101010101010110101010101010101010010101011010100110101100 001101011001010110101010010101010101010101011010101010101010100110101100 separated by 163285
00110101100110010110011001011010011001101001100110011001100110011001100110101100 00110101100110011001100110011001100110010110011001011010011001101001100110101100 separated by 164835
001101100101010101010101010110101010101010101010010101011010101001101100 001101100101010110101010010101010101010101011010101010101010101001101100 separated by 298410
0011011001100110011001100110011001100110100110011001100110010110011001101100 0011011001100110100110011001100110010110011001100110011001100110011001101100 separated by 166090
001101101001010101010101010110101010101010101010010101011010100101101100 001101101001010110101010010101010101010101011010101010101010100101101100 separated by 163285
001101101010010101010101010110101010101010101010010101011010010101101100 001101101010010110101010010101010101010101011010101010101010010101101100 separated by 161775
00110110101001010101010101010101010110101010101010101010101001011010010101101100 00110110101001011010010101010101010101010101101010101010101010101010010101101100 separated by 128810
001101110001010101010101010110101010101010101010010101011010100011101100 001101110001010110101010010101010101010101011010101010101010100011101100 separated by 163285
001110001101010101010101010110101010101010101010010101011010101100011100 001110001101010110101010010101010101010101011010101010101010101100011100 separated by 163330
